taxa	average
CM37	56
F7	59.2777777777778
CO255	59.6666666666667
ND246	60.1666666666667
Mt42	60.3333333333333
B64	60.3888888888889
CO106	60.3888888888889
CMV3	60.4444444444444
EP1	61.5555555555556
W182B	61.5555555555556
WD	61.5555555555556
C49A	61.9444444444444
CM105	62.0625
CO125	62.2222222222222
MS1334	62.8571428571429
CM7	63.6666666666667
A554	63.7222222222222
CM174	63.8333333333333
MEF156-55-2	63.8333333333333
A661	63.9444444444444
P39	63.9444444444444
A188	64
A654	64.1666666666667
I29	65.3333333333333
W117Ht	65.6111111111111
SD44	65.8888888888889
A659	66.0555555555556
A556	66.0625
A641	66.1111111111111
N192	66.5555555555556
Il101	67.1111111111111
A682	67.1666666666667
CH701-30	67.3888888888889
Il14H	67.5625
IA2132	67.6666666666667
Mo17	67.9438775514286
Oh43	68.1111111111111
C123	68.125
H99	68.6428571428571
A632	68.9444444444444
MS153	69.2222222222222
MS71	69.2777777777778
N6	69.4375
NC262	69.5625
W153R	69.6666666666667
R168	69.7222222222222
B164	69.7777777777778
CH9	69.8333333333333
Os420	69.8333333333333
A619	69.8888888888889
Mo47	69.8888888888889
B103	69.9444444444444
A634	70
4226	70.1666666666667
M14	70.2222222222222
Mo44	70.3125
H105W	70.4444444444444
H84	70.5
B75	70.8888888888889
VA102	70.8888888888889
Va59	70.9444444444444
N7A	71
A272	71.0625
Oh43E	71.0625
A239	71.1666666666667
IDS91	71.2222222222222
W64A	71.2222222222222
A635	71.2777777777778
A679	71.3125
Va26	71.3888888888889
B76	71.5
Ia5125	71.5
R109B	71.875
W22_R-rstd	71.8888888888889
NC260	72.3125
R177	72.3333333333333
B57	72.4444444444444
IDS28	72.5555555555556
H49	72.7777777777778
R4	72.9444444444444
SD40	72.9444444444444
W22	73.0555555555556
Wf9	73.0625
B104	73.1666666666667
B2	73.1666666666667
DE_2	73.2142857142857
Pa875	73.2142857142857
B73	73.31904762
I205	73.4444444444444
Oh40B	73.5555555555556
VaW6	73.5714285714286
Va35	73.6666666666667
CI3A	73.75
NC310	73.8888888888889
Va99	73.8888888888889
B109	73.9444444444444
MO1W	73.9444444444444
C103	74.0833333333333
A680	74.1111111111111
HP301	74.1111111111111
K148	74.1875
B37	74.2222222222222
B97	74.2222222222222
Va85	74.3125
B79	74.3333333333333
H91	74.3888888888889
Pa762	74.4444444444444
N28Ht	74.5555555555556
B77	74.6111111111111
Yu796_NS	74.625
B73Htrhm	74.6666666666667
Il677a	74.8333333333333
Va17	74.8333333333333
Pa880	74.8888888888889
M017	74.96574074
B46	75.1875
NC364	75.2222222222222
B52	75.3125
H95	75.3333333333333
Mo46	75.3888888888889
SA24	75.3888888888889
DE1	75.7142857142857
L317	75.7222222222222
NC264	75.7777777777778
K55	75.9444444444444
NC342	75.9444444444444
Sg1533	75.9444444444444
F2834T	76.0555555555556
B14A	76.0625
R229	76.2222222222222
CI21E	76.2777777777778
NC362	76.5
IDS69	76.6111111111111
CI91B	76.625
M37W	76.7142857142857
B115	76.7222222222222
NC306	76.7222222222222
NC324	76.7857142857143
NC294	76.8888888888889
Pa91	77
B84	77.0555555555556
MoG	77.1111111111111
T8	77.125
Mo24W	77.2222222222222
NC328	77.4375
Va14	77.4375
Sg18	77.4444444444444
B105	77.6666666666667
NC326	77.7222222222222
38-11	77.75
Mp339	77.7857142857143
CML220	77.8571428571429
B10	77.875
NC250	78.0625
DE_3	78.0833333333333
Hy	78.125
Mo45	78.125
NC358	78.1875
CI28A	78.2777777777778
4722	78.4444444444444
NC302	78.4444444444444
NC304	78.5
NC314	78.5
NC344	78.5555555555556
CML77	78.5714285714286
