GRMZM2G031545	GRMZM2G080549	GRMZM2G080567	GRMZM2G089736	GRMZM2G094765	GRMZM2G111224	GRMZM2G114461	GRMZM2G127031	GRMZM2G127035	GRMZM2G326788	GRMZM2G377502	GRMZM5G898768
10343927_LMAD26_33-16_CTCATA	920.36696	2.05134	30.08629	198.97978	0	39.6592	0	0.68378	0.68378	0	0	24.61606
10344827_LMAN26_33-16_AGGCAT	991.40798	5.45729	67.3066	160.08055	0	18.19097	0	0	1.8191	0	0	20.01007
10343262_LMAN8_38-11_TCGTTC	1746.23193	1.92847	22.17743	161.9917	0	24.10591	0.96424	3.85695	0	0	0	22.17743
10343264_LMAN26_4226_TGTGCA	1008.42988	0.76745	83.6521	180.35085	0	22.25606	2.30235	6.1396	0	0	0	29.93057
10343927_LMAD26_4226_TGGCGA	644.38613	1.31776	50.075	220.06643	0	48.75723	2.63553	7.90658	0	0	0	35.5796
10343262_LMAN8_4722_GACATC	1331.10373	2.48417	65.83064	100.60908	0	18.63131	4.14029	1.65612	2.8982	0	0	13.66296
10344823_LMAD8_A188_TTAACT	1246.00552	0	95.65546	108.07825	0	50.93343	1.24228	4.96911	0	0	0	26.08785
10344826_LMAN8_A188_CCTGCT	1855.43852	0	66.94881	204.67208	0	45.90776	0	1.91282	0	0	0	17.21541
10343264_LMAD26_A214N_CGAAGG	870.22937	0	36.19672	99.54097	0	30.91803	5.27869	8.29508	1.5082	0	0	21.86885
10344827_LMAN26_A214N_TCGTTC	1025.953	1.41413	59.39356	125.15071	0	41.00984	4.2424	9.19186	0	0	0	32.52504
10343262_LMAN8_A239_CAAGCA	1363.87047	0	35.33343	36.74677	0	29.68008	4.24001	0	1.41334	0	0	28.26675
10343927_LMAD26_A441-5_CTAGTC	1586.86935	0	38.72466	109.43927	0	32.83178	1.68368	4.2092	1.68368	0	0	12.62761
10344827_LMAN26_A441-5_AGTTGA	1458.66591	0	51.83077	223.61274	0	22.21319	1.48088	5.92352	0	0	0	14.80879
10344823_LMAD8_A554_CCTGCT	1055.0221	3.86809	25.1426	58.02138	0	59.95543	2.90107	1.93405	0.96702	0	0	20.30748
10344826_LMAN8_A554_GTGTAG	1064.24939	0	48.01125	35.20825	0	43.21013	1.60038	4.80113	0	0	0	28.80675
10344823_LMAD8_A556_TCGTTC	951.37487	1.41363	38.16809	96.12703	0	40.99535	1.41363	2.82727	0	0	0	25.44539
10344826_LMAN8_A556_ACAGAT	1301.51361	3.6053	41.46096	93.73782	0	23.43446	5.40795	0	0	0	0	18.0265
10343264_LMAD26_A6_AAGTGG	793.18613	1.28973	52.23421	55.45854	0	32.88821	1.9346	0.64487	0	0	0	24.50494
10344827_LMAN26_A6_ATGAAC	879.23402	2.16294	78.94721	72.4584	0	27.03672	1.08147	2.16294	0	0	0	19.46644
10344823_LMAD8_A619_AGACCA	1182.59553	0.94457	50.06195	69.89782	0	34.00434	1.88913	2.8337	0.94457	0	0	17.94674
10344826_LMAN8_A619_GAGTCC	967.80061	0	33.82099	49.43068	0	15.60969	7.80484	7.80484	0	0	0	15.60969
10343262_LMAN8_A632_AGGCAT	1116.17726	6.23563	12.47125	109.12347	0	31.17814	0	6.23563	0	0	0	18.70688
10344823_LMAD8_A632_GCATGG	939.31525	0	8.19647	140.97925	0	36.06446	0	3.27859	0	0	0	31.14658
10343262_LMAN8_A634_TTGGTA	1063.50689	1.98415	21.8257	144.84329	0	37.69894	5.95246	3.96831	0	0	0	15.87324
10343262_LMAN8_A635_CGGTTA	1130.08867	0	24.25083	84.8779	0	38.80133	1.21254	3.63762	0	0	0	20.61321
10344823_LMAD8_A641_AGTACT	815.07511	0.86343	20.72225	158.00715	0	36.26394	3.45371	8.63427	2.59028	0	0	23.31253
10344826_LMAN8_A641_ATGGCG	992.66594	0	15.69432	127.51638	0	41.1976	0	5.88537	1.96179	0	0	17.65611
10344823_LMAD8_A654_TATGTC	1079.91402	2.95058	131.00596	102.68035	0	48.38959	0	0	0	0	0	20.65409
10344826_LMAN8_A654_CTCCAT	1190.25001	0	91.55769	119.025	0	22.88942	2.28894	2.28894	0	0	0	25.17837
10344823_LMAD8_A659_GGCTGC	1417.88124	0	46.83416	110.19802	0	43.16089	1.83663	2.75495	0.91832	0	0	22.95792
10344826_LMAN8_A659_AATGAA	1301.59558	5.19254	34.6169	155.77607	0	27.69352	1.73085	2.59627	0	0	0	35.48233
10344823_LMAD8_A661_GTCAGG	1400.89111	2.76038	12.42169	80.05092	0	24.84339	0	4.14056	0	0	0	35.8849
10344826_LMAN8_A661_ACCGTG	1429.34848	0	27.3945	27.3945	0	20.94874	9.66865	4.83432	0	0	0	46.7318
10344823_LMAD8_A679_TAGGCT	864.53159	0.87948	38.69724	119.60966	0	35.17931	3.51793	4.39741	0	0	0	30.7819
10344826_LMAN8_A679_ATTGGT	1149.96354	0	54.69959	94.13418	0	13.99292	2.54417	6.36042	0	0	0	16.53709
10343262_LMAN8_A680_CAGCGT	997.53549	0.98086	52.96649	115.74158	0	22.5598	1.96172	13.73205	0	0	0	17.6555
10343262_LMAN8_A682_ACATTA	959.12033	0	15.24082	174.48107	0	21.02182	0.52555	6.83209	0	0	0	22.59845
10344823_LMAD8_A682_TCGAGG	846.51337	1.78967	14.31735	153.91152	0	44.74172	7.15868	10.73801	0	0	0	34.00371
10343264_LMAD26_Ab28A_AGGCAT	1327.22126	0	39.03592	119.05955	0	35.13233	7.80718	0	0	0	0	21.46976
10344827_LMAN26_Ab28A_CCTAAG	1367.45878	1.38034	42.33049	144.93591	0	43.25072	3.2208	6.90171	0.92023	0	0	25.76638
10343262_LMAN8_B10_TTCCGC	1423.00205	0	21.23884	21.23884	0	14.15922	14.15922	7.07961	0	0	0	49.55729
10344823_LMAD8_B103_GCCACA	982.06489	0	21.11968	138.78644	0	52.79919	3.0171	1.50855	0	0	0	39.22225
10344826_LMAN8_B103_ATATCC	1209.72361	0	26.01556	106.23021	0	39.02334	0	4.33593	0	0	0	39.02334
10343262_LMAN8_B104_GTGCCA	1124.38194	0.95937	53.72473	160.21483	0	23.98426	1.91874	1.91874	0	0	0	24.94363
10343262_LMAN8_B105_ATACTG	1039.3592	2.00842	56.23586	88.37064	0	20.08424	2.00842	3.01264	0	0	0	16.06739
10343262_LMAN8_B109_TGCTAT	1039.46526	1.36234	35.42083	23.15978	0	14.98574	5.44936	34.05849	1.36234	0	0	16.34808
10343262_LMAN8_B14A_CTCTCG	1045.67498	0	11.51624	124.37544	0	32.24548	0	9.213	0	0	0	23.03249
10343262_LMAN8_B164_TGGCGA	1149.32361	1.52228	36.53479	21.31196	0	24.35653	1.52228	4.56685	4.56685	0	0	41.10164
10343262_LMAN8_B2_ACAGAT	1043.87988	1.23829	37.7679	130.02063	0	50.76996	1.85744	3.09573	2.47658	0	0	30.33815
10343262_LMAN8_B37_TGTGCA	1135.23428	3.70024	74.74489	145.78954	0	11.10073	1.4801	3.70024	0.74005	0	0	9.62063
10343264_LMAN26_B46_ACCGTG	1148.33877	0.55315	76.33466	172.5827	0	29.87008	1.1063	1.1063	0	0	0	8.8504
10343927_LMAD26_B46_CGATCT	995.11884	4.89724	107.73924	227.23186	0	43.0957	0.97945	0.97945	0.97945	0	0	9.79448
10343264_LMAN26_B52_ATAAGA	1283.11394	2.34716	62.59092	125.18185	0	51.63751	3.12955	3.91193	0	0	0	14.08296
10343927_LMAD26_B52_TGCTAT	1342.5302	0.77693	53.60798	142.95461	0	69.14652	3.88464	1.55385	3.88464	0	0	17.86933
10343262_LMAN8_B57_CCTAAG	1071.49824	0	59.37774	131.57567	0	29.01412	2.02424	0.67475	0	0	0	18.89292
10343264_LMAN26_B64_ACCAGT	988.33222	1.01576	53.83516	211.2776	0	27.42546	0	2.03152	0	0	0	39.61455
10343927_LMAD26_B64_GCGAAT	962.77459	0	23.24882	261.20731	0	49.23279	2.73516	6.83789	0	0	0	23.24882
10343262_LMAN8_B68_ATAAGA	1156.98113	0	20.55164	129.39921	0	41.86445	2.28352	9.13406	0	0	0	33.49156
10343262_LMAN8_B73_AATGAA	988.70752	3.82664	44.48466	85.14269	0	16.74154	3.34831	8.60993	0	0	0	20.08985
10343262_LMAN8_B73_CCAATT	928.4196	2.57537	45.06891	73.39794	0	32.19208	3.86305	19.31525	0	0	0	21.89061
10343262_LMAN8_B73_GCGCTG	1099.3327	0	48.11403	86.02205	0	21.87001	5.832	10.20601	0	0	0	36.45002
10343262_LMAN8_B73_GGCCAA	900.43515	1.30687	54.88864	99.32231	0	9.14811	1.30687	10.45498	0	0	0	16.98934
10343264_LMAD26_B73_CAAGCA	1251.77959	0.78531	120.15199	86.38379	0	39.26536	0.78531	7.85307	2.35592	0	0	10.9943
10343264_LMAN26_B73_ACTCTT	1433.20027	0.5942	156.86769	120.02755	0	35.05755	2.97098	13.07231	2.37678	0	0	18.42007
10343264_LMAN26_B73_CCTGCT	1444.00269	0	99.08638	107.54497	0	19.33393	6.04185	15.70882	2.41674	0	0	16.91719
10343264_LMAN26_B73_GTGTAG	1145.40809	1.10082	118.88907	143.65762	0	34.67598	1.10082	13.76031	1.10082	0	0	15.96196
10343264_LMAN26_B73_TCAGGA	1174.83392	0	142.14193	108.15147	0	40.78855	3.09004	21.63029	0	0	0	23.48432
10343927_LMAD26_B73_CAGATG	1066.43569	0	83.32844	89.22035	0	41.24337	0.8417	3.36681	0	0	0	19.35913
